Table S9. Functional annotation and RPKM values for all libraries.,,,,,,,,,
Locus,Functional Annotation,Hypoxia,At Infection,YEB+Pilch,Mefenoxam T,Mefenoxam C,Temp 0C,Temp 35C,Temp Room
PYU1_G000025,Similar to ZRANB2: Zinc finger Ran-binding domain-containing protein 2 (Sus scrofa),48.560595,16.333762,47.790026,22.97935,58.221458,2.44386,38.977522,25.432366
PYU1_G000026,Similar to Myh3: Myosin-3 (Mus musculus),0,0,0,0,0,0,0,0
PYU1_G000027,Similar to rluD: Ribosomal large subunit pseudouridine synthase D (Zymomonas mobilis),4.713598,5.489685,12.780017,6.180194,6.815216,6.810035,4.821797,8.983821
PYU1_G000028,Similar to TOUSLED: Serine/threonine-protein kinase TOUSLED (Arabidopsis thaliana),3.421275,13.438687,5.517135,15.299774,6.297317,3.133862,14.027022,3.764845
PYU1_G000029,Protein of unknown function,1.707918,9.580796,2.362492,11.687433,3.304855,1.035219,11.06222,0.690919
PYU1_G000030,Similar to Ncl: Nucleolin (Mus musculus),241.266163,946.845034,366.38688,508.792416,497.809962,169.543434,147.526291,570.316014
PYU1_G000031,Similar to RPA4233: Putative potassium channel protein RPA4233 (Rhodopseudomonas palustris),37.011238,128.413144,46.642138,39.672594,43.244583,33.268054,66.436167,74.19151
PYU1_G000032,Similar to RF_0381: Putative ankyrin repeat protein RF_0381 (Rickettsia felis),11.750543,55.638417,9.736141,10.364245,9.184234,6.607274,6.174351,9.492173
PYU1_G000033,Protein of unknown function,16.262418,26.352771,5.338618,8.940264,5.073444,2.22729,12.98192,3.349909
PYU1_G000034,Similar to TPRXL: Putative protein TPRXL (Homo sapiens),11.231107,30.820975,9.196344,8.62586,7.42508,3.953537,10.207316,16.920354
PYU1_G000035,Protein of unknown function,9.255457,19.818064,5.705337,3.058487,3.195413,3.135783,8.725008,9.500132
PYU1_G000036,Similar to MFT: Protein MOTHER of FT and TF 1 (Arabidopsis thaliana),118.635356,143.638189,104.845578,110.442825,122.182282,73.273771,119.036449,212.604416
PYU1_G000037,Similar to HRC: Sarcoplasmic reticulum histidine-rich calcium-binding protein (Oryctolagus cuniculus),0.939355,1.109812,0.337499,1.010805,1.207866,0.483102,0.961932,0.414551
PYU1_G000038,translocation protein Sec63,13.755576,24.396609,17.827103,21.893717,19.281369,18.9003,17.294115,21.547786
PYU1_G000039,Similar to SPBP35G2.12: Uncharacterized Nudix hydrolase P35G2.12 (Schizosaccharomyces pombe),17.595911,9.87192,13.825444,24.217204,17.121487,16.672068,12.059536,20.970159
PYU1_G000040,Similar to dnaJ: Chaperone protein dnaJ (Deinococcus radiodurans),5.207066,4.784582,5.75703,4.487759,7.252515,4.439659,5.671671,4.834325
PYU1_G000041,Protein of unknown function,0.038157,0.371921,0,0,0,0,0.061403,0
PYU1_G000042,Protein of unknown function,0,1.179396,0,0.268545,0.483132,0,0,0
PYU1_G000043,Protein of unknown function,0,7.931756,0,0,0,0,0,0
PYU1_G000044,Similar to YGR125W: Uncharacterized vacuolar membrane protein YGR125W (Saccharomyces cerevisiae),8.659143,6.832278,17.146291,7.884279,5.596446,8.225161,19.033889,20.977674
PYU1_G000045,Similar to MARCH1: E3 ubiquitin-protein ligase MARCH1 (Homo sapiens),110.434796,140.775452,49.404879,155.393624,129.738958,31.353341,67.600611,25.067923
PYU1_G000046,Similar to arms: Ankyrin repeat-rich membrane spanning protein (Danio rerio),5.554896,3.115606,4.597723,7.68409,8.64971,4.475548,3.751202,3.403551
PYU1_G000047,Protein of unknown function,0.276064,2.774903,0.783739,1.361537,2.183761,0.277025,0.666363,0.872955
PYU1_G000048,Protein of unknown function,0.369146,1.599152,0.583571,0.728246,0.386765,0.497223,0.829167,0.398224
PYU1_G000049,Similar to lvsA: BEACH domain-containing protein lvsA (Dictyostelium discoideum),0,2.299333,0.018646,0.69807,0,0.571944,0.189805,0
PYU1_G000050,Similar to WDFY3: WD repeat and FYVE domain-containing protein 3 (Homo sapiens),0.372366,0.604912,0.405931,0.367298,0.195069,0.401248,0.349539,0.301273
PYU1_G000051,Similar to lvsA: BEACH domain-containing protein lvsA (Dictyostelium discoideum),0.136852,0.444636,0.108173,0.40497,0.322614,0.221201,0,0
PYU1_G000052,Similar to gp63-C1: Leishmanolysin C1 (Leishmania mexicana),0,0.215414,0.099573,0.58859,0.104198,0.379098,0.626814,0.21323
PYU1_G000053,Protein of unknown function,6.185155,5.303325,5.861895,4.450281,4.768327,4.157592,5.817456,3.919744
PYU1_G000054,Similar to dlpA: Protein dlpA (Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)),94.61918,171.983049,142.212729,116.61681,166.806148,136.973498,115.229843,179.67632
PYU1_G000055,Similar to RBM8A: RNA-binding protein 8A (Bos taurus),43.933481,61.44726,54.543318,79.207077,75.452405,49.892184,69.163413,64.225157
PYU1_G000056,Similar to Cacna1a: Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Rattus norvegicus),0.360668,0,0.331362,0.459457,0.36602,0.716288,0.610577,0.630725
PYU1_G000057,Similar to Rgs13: Regulator of G-protein signaling 13 (Mus musculus),0.195862,0.21212,0.051605,3.337473,0.666932,0,0.05253,0
PYU1_G000058,Similar to NME2: Nucleoside diphosphate kinase B (Pongo abelii),367.63213,846.03569,341.885571,509.07843,695.76998,496.786851,219.345767,324.475761
PYU1_G000059,Similar to HYPK: Huntingtin-interacting protein K (Homo sapiens),44.477025,31.231146,43.289391,108.407981,71.931019,38.169304,22.827192,12.784346
PYU1_G000060,Similar to crbn: Protein cereblon (Xenopus tropicalis),5.036553,7.103218,4.876304,10.091738,6.135417,3.406179,6.868928,5.498156
PYU1_G000061,Protein of unknown function,6.115591,9.562945,7.318679,10.095663,10.357483,5.787163,3.157603,5.46554
PYU1_G000062,Similar to Eip75B: Ecdysone-induced protein 75B%2C isoform B (Drosophila melanogaster),113.089013,165.982024,132.552276,131.681047,221.220742,90.581674,59.713196,133.77354
PYU1_G000063,Similar to TTLL3: Tubulin--tyrosine ligase-like protein 3 (Homo sapiens),1.137233,2.351296,2.042971,3.671205,3.087093,1.15094,1.973525,2.831428
PYU1_G000064,Similar to TTLL3: Tubulin--tyrosine ligase-like protein 3 (Homo sapiens),6.479323,10.727787,6.878684,17.159058,6.383378,8.422122,6.521574,12.508264
PYU1_G000065,Similar to v1g180167: Coiled-coil domain-containing protein 22 homolog (Nematostella vectensis),4.906625,6.095556,7.189748,12.247396,10.106218,8.735315,4.673023,7.170899
PYU1_G000066,Similar to TTLL1: Probable tubulin polyglutamylase TTLL1 (Bos taurus),0.890632,2.553248,1.229904,2.309969,1.823738,1.778291,1.902156,0.882723
PYU1_G000067,Similar to ACSBG2: Long-chain-fatty-acid--CoA ligase ACSBG2 (Gallus gallus),143.893143,534.516284,214.588226,260.502972,167.899175,217.685357,188.9722,184.245437
PYU1_G000068,Protein of unknown function,29.741868,25.773785,53.587353,71.177949,46.703742,52.438154,38.983548,35.852795
PYU1_G000069,Protein of unknown function,1.620773,0.783765,1.592156,0.713845,1.516467,2.056791,2.969645,2.712929
PYU1_G000070,Similar to Os01g0618200: Probable protein phosphatase 2C 7 (Oryza sativa subsp. japonica),39.815143,38.380931,53.079008,47.538842,49.91454,57.462302,46.585666,63.882096
PYU1_G000071,Similar to SPAC824.03c: Uncharacterized protein C824.03c%2C mitochondrial (Schizosaccharomyces pombe),4.417475,22.938688,7.728887,14.199112,11.946732,9.254993,7.717304,5.89461
PYU1_G000072,Similar to YDR417C: Putative uncharacterized protein YDR417C (Saccharomyces cerevisiae),5280.809475,3170.689935,6014.560077,5009.492804,4906.626479,6308.645696,6942.440575,7852.629943
PYU1_G000073,Similar to rpl-12: 60S ribosomal protein L12 (Caenorhabditis briggsae),5524.665402,3374.928318,6213.25185,5581.843548,5670.390972,6654.733661,6786.754264,7892.913948
PYU1_G000074,Similar to CAPSL: Calcyphosin-like protein (Homo sapiens),170.938375,203.601087,226.507596,232.725155,163.972863,203.739286,254.485628,195.210271
PYU1_G000075,Similar to ribH: 6%2C7-dimethyl-8-ribityllumazine synthase (Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)),46.773989,205.377701,60.302874,85.012627,69.271511,54.02993,28.672073,47.91474
PYU1_G000076,Similar to gufA: Protein gufA (Myxococcus xanthus),19.259206,23.907362,23.813107,24.178494,25.587384,15.949056,20.755977,25.642737
PYU1_G000077,Similar to Lace1: Lactation elevated protein 1 (Mus musculus),37.785,19.544685,33.110895,22.891139,19.281775,35.025275,32.994546,37.091711
PYU1_G000078,Protein of unknown function,27.391286,27.285035,31.981789,44.791833,30.768693,26.76924,20.192226,36.151048
PYU1_G000079,Similar to ectD: Ectoine hydroxylase (Bordetella parapertussis),17.92508,58.040286,32.860651,32.226222,52.08221,14.193571,17.27922,41.96726
PYU1_G000080,Similar to rnc: Ribonuclease 3 (Leptospira borgpetersenii serovar Hardjo-bovis (strain L550)),7.557051,5.044598,6.420148,4.719005,4.021136,4.789196,4.388035,5.985345
PYU1_G000081,Similar to WDR76: WD repeat-containing protein 76 (Rhinolophus ferrumequinum),6.270995,8.472173,3.769184,2.763135,4.609208,4.342569,3.235696,4.263298
PYU1_G000082,Similar to vac14: Protein VAC14 homolog (Xenopus laevis),11.333044,37.653684,23.185648,31.339353,36.018497,24.046166,10.679404,14.546243
PYU1_G000083,Similar to mnmA: tRNA-specific 2-thiouridylase mnmA (Staphylococcus epidermidis (strain ATCC 35984 / RP62A)),12.165009,13.872645,9.190669,14.514914,11.223497,9.348534,10.953709,7.349437
PYU1_G000084,Similar to NCL: Nucleolin (Pongo abelii),37.05782,40.027475,30.297249,105.363248,55.957457,24.017507,25.054708,11.402278
PYU1_G000085,Similar to SF-assemblin (Spermatozopsis similis),0.242602,0.485058,0.961754,0,0.234628,0.120655,0.456461,0.36237
PYU1_G000086,Similar to RpL37a: Probable 60S ribosomal protein L37-A (Drosophila melanogaster),5190.600805,1570.759956,5815.097431,6074.691626,5194.783899,7054.593148,6956.534924,8224.8823
PYU1_G000087,Similar to sqv-7: UDP-sugar transporter sqv-7 (Caenorhabditis elegans),3.845954,21.93102,4.669937,18.716109,6.07342,8.945142,2.167838,3.122066
PYU1_G000088,Similar to DDB_G0273453: Uncharacterized protein DDB_G0273453/DDB_G0273565 (Dictyostelium discoideum),8.157651,15.121596,8.342605,10.21585,12.890383,8.6816,4.218223,8.563371
PYU1_G000089,Protein of unknown function,2.688244,1.561948,0.496322,0,0.493409,1.420889,0.505216,0.254014
PYU1_G000090,Protein of unknown function,1.908288,1.550016,1.696922,1.72938,2.999046,2.795284,4.308734,1.650099
PYU1_G000091,Similar to Ankfy1: Ankyrin repeat and FYVE domain-containing protein 1 (Mus musculus),10.902342,9.63657,8.925892,10.349415,10.791454,10.560683,8.143709,7.756588
PYU1_G000092,Similar to pif1: ATP-dependent DNA helicase PIF1 (Danio rerio),0.739999,0.240427,0.701904,1.313871,1.511868,0.299023,0.774023,1.076193
PYU1_G000093,Similar to MYH11: Myosin-11 (Gallus gallus),2.647998,3.222924,4.19787,7.289084,5.748409,4.13341,4.523991,5.645084
PYU1_G000094,Similar to slc25a24: Calcium-binding mitochondrial carrier protein SCaMC-1 (Danio rerio),5.891707,8.591331,5.40975,9.894627,6.730322,4.913391,4.591981,4.83739
PYU1_G000095,Similar to MYB: Myb proto-oncogene protein (Homo sapiens),1.421266,2.805703,1.736792,4.542944,2.412716,0.74055,0.901329,3.260515
PYU1_G000096,Similar to cplA: Putative calpain-like cysteine protease A (Dictyostelium discoideum),0,0,0,0,0,0,0,0
PYU1_G000097,Similar to panE: 2-dehydropantoate 2-reductase (Salmonella typhimurium),3.099336,1.878914,6.58237,2.652508,1.817706,2.336838,5.316063,5.556203
PYU1_G000098,Similar to NPEPPS: Puromycin-sensitive aminopeptidase (Homo sapiens),21.94038,40.943045,28.574103,35.618877,39.840969,33.898906,19.813972,42.250887
PYU1_G000099,Similar to CROT: Peroxisomal carnitine O-octanoyltransferase (Bos taurus),0.060507,2.61095,0.092067,0,0.190185,0.294624,0.146052,0.048955
PYU1_G000100,Similar to Hrs: Hepatocyte growth factor-regulated tyrosine kinase substrate (Drosophila melanogaster),1.048611,1.632076,0.678968,0,0.473673,0.405968,1.05085,0.272303
PYU1_G000101,Similar to PTGDS2: Glutathione-requiring prostaglandin D synthase (Gallus gallus),14.560589,95.813948,24.993577,16.769116,15.082863,21.877154,30.523456,33.901185
PYU1_G000102,NAD-specific glutamate dehydrogenase,15.592374,19.079016,23.754293,6.498032,13.383986,16.659634,42.429715,24.086743
PYU1_G000103,Protein of unknown function,0.223549,0.726316,0.176701,0,0,0,1.771696,0.361738
PYU1_G000104,Similar to mask: Ankyrin repeat and KH domain-containing protein mask (Drosophila melanogaster),0.392444,0.408019,0.086856,0,0.394727,0,2.571552,0.101606
PYU1_G000105,Protein of unknown function,0.098156,0,0.232758,0.290461,0.154261,0,3.087976,0.079416
PYU1_G000106,Similar to Prf1: Perforin-1 (Mus musculus),0.146728,2.487899,0.463916,0.651292,0.547667,0.355745,4.834453,0.356144
PYU1_G000107,Protein of unknown function,4.856016,4.832684,4.114996,4.634583,5.376544,6.208486,6.575268,7.978129
PYU1_G000108,Protein of unknown function,9.411912,11.746998,10.124965,11.955759,16.19868,10.533076,13.01693,17.509775
PYU1_G000109,Similar to Dspp: Dentin sialophosphoprotein (Mus musculus),10.33612,43.421158,13.993821,17.350541,30.006682,12.505458,8.984554,16.463039
PYU1_G000110,Similar to Bxeno_A1185: UPF0082 protein Bxeno_A1185 (Burkholderia xenovorans (strain LB400)),54.467128,38.787842,84.642093,81.683013,68.816698,67.100912,73.79914,102.530878
PYU1_G000111,Similar to SETD3: SET domain-containing protein 3 (Gallus gallus),16.299521,13.235115,22.935031,16.803395,17.729841,9.922542,10.680276,19.213637
PYU1_G000112,Similar to PARP2: Poly [ADP-ribose] polymerase 2 (Arabidopsis thaliana),0.259562,4.585563,0.205166,1.228942,1.437936,0.584736,0.104422,0.013125
PYU1_G000113,Similar to SAR1027: UPF0039 protein SAR1027 (Staphylococcus aureus (strain MRSA252)),0,0,0,0.836759,0.88879,0,0.227515,0.137269
PYU1_G000114,Similar to Suv39h1: Histone-lysine N-methyltransferase SUV39H1 (Mus musculus),2.574213,0,0,0,0.316527,0.16277,1.782556,0
PYU1_G000115,Protein of unknown function,0.502329,0,0,0,0,0,0,0
PYU1_G000116,Protein of unknown function,0,0,0,0,0,0,0.162819,0.163725
PYU1_G000117,Protein of unknown function,34.771503,47.222732,20.943008,25.721378,28.439172,20.190881,40.141855,5.675404
PYU1_G000118,Similar to PARP1: Poly [ADP-ribose] polymerase 1 (Oryza sativa subsp. japonica),1.284149,12.38629,3.308377,3.325017,1.261347,1.284294,0.904072,0.792219
PYU1_G000119,Similar to PARP2: Poly [ADP-ribose] polymerase 2 (Homo sapiens),1.16661,3.648202,0.899075,1.380881,0.586699,0.556265,0.361382,0
PYU1_G000120,Similar to zgc:153987: Uncharacterized protein C4orf37 homolog (Danio rerio),0,0.280255,0.068182,0,0.542252,0,0,0
PYU1_G000121,Protein of unknown function,0.149468,0.050586,0,0.147434,0.234902,0.120796,0.040087,0.080621
PYU1_G000122,Protein of unknown function,0.13427,0,0,0.595994,0.073856,0,0,0
PYU1_G000123,Similar to Parp2: Poly [ADP-ribose] polymerase 2 (Mus musculus),0.30336,4.597008,0,0.673272,0.476758,0.117987,0.061021,0
PYU1_G000124,Protein of unknown function,13.90009,3.698842,11.278344,29.979295,19.253826,19.216453,12.567839,7.325165
PYU1_G000125,Protein of unknown function,1.205184,0,5.008047,8.864923,7.251525,3.729015,1.745441,3.00884
PYU1_G000126,Similar to lin-54: Protein lin-54 (Caenorhabditis elegans),0.443231,0,0.95469,0.852539,0.464385,0.537311,1.008947,0.415388
PYU1_G000127,Protein of unknown function,54.277106,95.76029,55.523859,61.835734,63.524509,105.809603,48.591244,36.221233
PYU1_G000128,Similar to MAGT1: Magnesium transporter protein 1 (Gallus gallus),120.797865,71.802531,125.405729,108.154732,113.791178,143.820485,141.019427,164.829342
PYU1_G000129,Similar to ACPT: Testicular acid phosphatase (Homo sapiens),3.307979,15.816712,4.968,2.344396,1.874184,7.198008,5.768283,3.980879
PYU1_G000130,Similar to Poly [ADP-ribose] polymerase (Sarcophaga peregrina),0.268541,0,0.315742,0.95359,1.445472,0.550706,0.429434,1.070055
PYU1_G000131,Protein of unknown function,0.520155,2.351296,0,2.141536,0.568675,1.169739,0,0.878287
PYU1_G000132,Similar to MIMI_R826: Putative serine/threonine-protein kinase/receptor R826 (Acanthamoeba polyphaga mimivirus),0.172169,0,0.136088,0.509478,0.811738,0.556569,0.692635,0.278596
PYU1_G000133,Protein of unknown function,0.215646,0,0,0,0,0,0.615956,0
PYU1_G000134,Protein of unknown function,0,0,0,0,0,0,0.373421,0
PYU1_G000135,Protein of unknown function,0,0,0,0,0,0,0,0
PYU1_G000136,Protein of unknown function,0,0,0,0,0,0,0,0
PYU1_G000137,Similar to KCTD21: BTB/POZ domain-containing protein KCTD21 (Homo sapiens),0,0,0,0,0,0.104568,0.104105,0
PYU1_G000138,Similar to ACPP: Prostatic acid phosphatase (Bos taurus),31.15015,47.033245,39.951732,37.328772,52.127791,46.521891,86.166821,43.516532
PYU1_G000139,Protein of unknown function,9.902836,0,43.976505,0,0.808478,4.375776,7.481465,10.176484
PYU1_G000140,Protein of unknown function,44.838401,5.057735,68.914801,23.49332,27.907435,40.694356,27.805852,16.926609
PYU1_G000141,candidate a-glycosidase,17.121253,12.883882,23.716947,10.861242,13.172536,19.317196,11.197747,14.176518
PYU1_G000142,Similar to AGRN: Agrin (Homo sapiens),43.404617,47.581481,71.145224,40.062395,43.506321,29.304156,3.773633,29.382101
PYU1_G000143,Protein of unknown function,9.480629,112.304538,17.683163,13.300066,23.194911,23.855444,3.860386,9.791046
PYU1_G000144,Similar to TMEM198: Transmembrane protein 198 (Bos taurus),60.510786,331.998596,47.490161,150.662369,200.86952,82.406221,6.597064,48.37768
PYU1_G000145,Similar to HERC3: Probable E3 ubiquitin-protein ligase HERC3 (Homo sapiens),8.623019,10.731248,4.345207,17.410413,15.400075,22.499945,0.588518,0.697207
PYU1_G000146,Similar to Aup1: Ancient ubiquitous protein 1 (Mus musculus),0.992975,0.403275,1.653156,2.543541,1.506906,9.687625,0.292115,0
PYU1_G000147,Protein of unknown function,24.092978,19.545146,23.129157,36.638114,25.448212,28.4734,31.54035,39.966916
PYU1_G000148,Similar to pde-4: Probable 3'%2C5'-cyclic phosphodiesterase pde-4 (Caenorhabditis elegans),0.669491,1.148297,0.835871,1.529624,0.428696,2.024335,1.290807,1.279852
PYU1_G000149,Similar to SPBC23E6.01c: Uncharacterized RNA-binding protein C23E6.01c (Schizosaccharomyces pombe),22.826978,54.590192,40.379788,47.460455,33.167922,48.872629,28.696101,44.991099
PYU1_G000150,Similar to MTP1: Metal tolerance protein 1 (Arabidopsis thaliana),13.54115,21.273856,7.00044,9.142253,11.41945,8.506787,2.992494,2.515636
PYU1_G000151,Similar to mug70: Meiotically up-regulated gene 70 protein (Schizosaccharomyces pombe),63.549538,54.446403,112.303039,120.316142,98.746409,88.070928,50.913326,100.107374
PYU1_G000152,Protein of unknown function,16.920607,22.932588,21.69286,49.807785,43.714633,6.026276,18.857754,39.978159
PYU1_G000153,Similar to FAB1: 1-phosphatidylinositol-3-phosphate 5-kinase FAB1 (Saccharomyces cerevisiae),6.771922,2.397788,4.424072,2.984055,6.242719,3.049927,4.697172,2.331086
PYU1_G000154,Protein of unknown function,85.30951,9.427402,78.336958,35.023555,76.576198,29.588397,53.847512,172.386133
PYU1_G000155,Similar to TPRXL: Putative protein TPRXL (Homo sapiens),20.98373,5.952528,9.240241,7.384399,21.486504,8.908674,15.027346,10.544899
PYU1_G000156,Similar to adcA: Arrestin domain-containing protein A (Dictyostelium discoideum),17.844605,0.898875,5.437886,7.613785,11.482263,8.576518,3.598713,9.218467
PYU1_G000157,Similar to sodA: Superoxide dismutase [Mn] (Bacillus stearothermophilus),3.72138,10.818118,0.619264,0.57959,0.307815,9.362876,0.472771,0.158468
PYU1_G000158,Similar to SODA: Superoxide dismutase [Mn]%2C mitochondrial (Chlamydomonas reinhardtii),2.069063,1.222259,0,0.111322,0,6.251599,0.302685,0.057069
PYU1_G000159,Similar to Dusp23: Dual specificity protein phosphatase 23 (Mus musculus),65.025275,200.172646,54.653203,44.420143,103.31765,182.30614,12.159005,25.730403
PYU1_G000160,Similar to Kif5c: Kinesin heavy chain isoform 5C (Mus musculus),11.894847,3.248416,13.004862,8.623518,14.437455,36.721048,5.252581,19.871051
PYU1_G000161,Similar to At2g16880: Pentatricopeptide repeat-containing protein At2g16880 (Arabidopsis thaliana),11.579214,3.580947,14.312146,9.871785,8.608909,11.823661,13.996057,17.577702
PYU1_G000162,Similar to YCF1: Metal resistance protein YCF1 (Saccharomyces cerevisiae),13.958943,17.340806,7.463916,7.289459,4.516593,5.640617,3.964006,5.979104
PYU1_G000163,Similar to ABCC4: Multidrug resistance-associated protein 4 (Homo sapiens),0.530005,1.601155,0.696753,0.880492,0.602062,0.772507,1.149147,0.177544
PYU1_G000164,Similar to LARP1: La-related protein 1 (Homo sapiens),61.476067,66.018393,87.684233,44.209105,78.224939,23.77583,67.887592,40.107534
PYU1_G000165,Protein of unknown function,46.507498,91.604694,97.446674,63.404211,47.750578,28.956129,99.778057,59.191207
PYU1_G000166,Similar to Dtwd2: DTW domain-containing protein 2 (Mus musculus),2.528348,3.20138,4.59085,0.647952,2.877715,1.524073,1.805825,2.602018
PYU1_G000167,Similar to RPS3A: 40S ribosomal protein S3-1 (Arabidopsis thaliana),6103.602664,2775.43977,6178.107568,6652.400496,7097.305001,8007.742595,7849.970547,10247.59832
PYU1_G000168,Similar to MYB: Myb proto-oncogene protein (Gallus gallus),0.994118,2.579015,0.351362,0.357934,0.603553,0.843132,1.708004,0.423261
PYU1_G000169,Similar to Rev1: DNA repair protein REV1 (Mus musculus),0.695406,0.903755,0,0,0.021858,0.177033,1.20857,0.154725
PYU1_G000170,Similar to Rev1: DNA repair protein REV1 (Mus musculus),0,0,0,0,0,0.261419,0.273276,0
PYU1_G000171,Similar to SPAC17A5.13: GTP cyclohydrolase 1 (Schizosaccharomyces pombe),65.709672,35.398588,44.523884,68.50877,85.712026,24.931527,66.271576,34.266911
PYU1_G000172,Similar to Efcab6: EF-hand calcium-binding domain-containing protein 6 (Mus musculus),0.221462,0.143907,0.104156,0.222818,0.139219,0.930695,0.605841,0.107508
PYU1_G000173,Similar to RAD21: Double-strand-break repair protein rad21 homolog (Bos taurus),8.133689,4.772365,7.751129,12.274061,7.903007,7.951179,12.605873,7.774287
PYU1_G000174,Similar to dnaJ1: Chaperone protein dnaJ 1 (Nocardia farcinica),4.070615,7.696554,5.545497,5.127272,4.984149,5.469908,6.522418,8.010652
PYU1_G000175,Protein of unknown function,3.693763,0.845893,4.717781,9.245168,2.751659,6.969844,5.451717,3.565183
PYU1_G000176,Similar to Zrsr2: U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (Mus musculus),1.715542,3.424445,1.283346,5.30885,2.086416,1.486134,1.710519,1.161208
PYU1_G000177,Similar to vps13F: Putative vacuolar protein sorting-associated protein 13F (Dictyostelium discoideum),0.399046,0,0.315419,0,0,0.644996,0.481608,0.322859
PYU1_G000178,Protein of unknown function,0.085739,0.557134,0,0,0.134746,0.069292,0.496695,0.241058
PYU1_G000179,Protein of unknown function,0.218869,0.642569,0,0,0.268547,0.204589,0.230842,0
