Sequence ID,Complement,IPR.name.primary
PYU1_T006952,NA,Pectinacetylesterase
PYU1_T009543,candidate di-N-acetylchitobiase,"Glycoside hydrolase, family 18, catalytic domain"
PYU1_T007523,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T007525,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T007528,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T007530,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T007532,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T007535,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T008222,NA,"Glycosyl transferase, family 1"
PYU1_T008740,"candidate b-glycosidase related to b-1,3-glucanosyltransferases; GPI anchor",Glucanosyltransferase
PYU1_T008966,candidate b-glycosidase,"Glycoside hydrolase, family 3, N-terminal"
PYU1_T009505,candidate endopolygalacturonase,"Glycoside hydrolase, family 28"
PYU1_T009211,"candidate b-glycosidase related to b-1,3-glucanosyltransferases; GPI anchor",Glucanosyltransferase
PYU1_T009220,"candidate b-glycosidase related to b-1,3-glucanosyltransferases",Glucanosyltransferase
PYU1_T009223,"candidate b-glycosidase related to b-1,3-glucanosyltransferases",Glucanosyltransferase
PYU1_T009228,"candidate b-glycosidase related to b-1,3-glucanosyltransferase; GPI anchor",Glucanosyltransferase
PYU1_T009237,"candidate b-glycosidase related to b-1,3-glucanosyltransferases; GPI anchor",Glucanosyltransferase
PYU1_T009242,Similar to TIV1: Acid beta-fructofuranosidase (Solanum lycopersicum),"Glycosyl hydrolase family 32, N-terminal"
PYU1_T006194,candidate a-glycosidase,"Glycoside hydrolase, family 31"
PYU1_T009536,Similar to pelA: Pectate lyase A (Paenibacillus barcinonensis),"Pectate lyase, catalytic"
PYU1_T006546,"candidate b-glycosidase related to endo-b-1,3-glucanases","Glycoside hydrolase, family 81"
PYU1_T010707,NA,"Beta-glucan synthesis-associated, SKN1"
PYU1_T010806,NA,Barwin
PYU1_T010809,NA,Barwin
PYU1_T010982,candidate a-glycosidase related to a-N-acetylglucosaminidases,Alpha-N-acetylglucosaminidase
PYU1_T010978,candidate a-mannosidase,"Glycoside hydrolase, family 38, core"
PYU1_T010437,candidate dolichol-phosphate b-glucosyltransferase,"Glycosyl transferase, family 2"
PYU1_T010997,candidate a-glycosidase related to a-N-acetylglucosaminidases,Alpha-N-acetylglucosaminidase
PYU1_T011896,candidate cellobiohydrolase,"Glycoside hydrolase, family 7"
PYU1_T012179,candidate polysaccharide lyase related to fungal pectin lyases,Pectate lyase/Amb allergen
PYU1_T012180,NA,Pectate lyase/Amb allergen
PYU1_T012442,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T012446,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T012455,candidate pectate lyase,"Pectate lyase, catalytic"
PYU1_T012511,candidate b-glycosidase related to endoglucanases,"Glycoside hydrolase, family 5"
PYU1_T012512,"candidate b-1,4-endoglucanase","Glycoside hydrolase, family 5"
PYU1_T012529,NA,Tetratricopeptide-like helical
PYU1_T012530,candidate b-glycosidase related to b-xylosidases/a-L-arabinofuranosidases,"Glycoside hydrolase, family 3, N-terminal"
PYU1_T012880,candidate b-glycosidase related to b-xylosidases/a-L-arabinofuranosidases,"Glycoside hydrolase, family 3, N-terminal"
PYU1_T012899,NA,Concanavalin A-like lectin/glucanases superfamily
PYU1_T013005,distantly related to glycosyltransferases,"Glycosyl transferase, family 10"
PYU1_T013428,NA,"Glycoside hydrolase, family 5"
PYU1_T013496,NA,"Glycoside hydrolase, family 2, immunoglobulin-like ?-sandwich"
PYU1_T006878,NA,Fringe-like
PYU1_T014041,NA,"Concanavalin A-like lectin/glucanase, subgroup"
PYU1_T014584,NA,"Glycoside hydrolase, catalytic domain"
PYU1_T007490,candidate polysaccharide lyase related to fungal pectate lyases,"Pectate lyase, catalytic"
PYU1_T015021,NA,Pectate lyase/Amb allergen
PYU1_T015040,"candidate b-glycosidase related to exo-b-1,3-glucosidases","Glycoside hydrolase, family 5"
